{id=null, openid='oB4-Tt1lPYy6OkCndHZ8BhK3KLks', sceneid='qrscene_materiel_938_1879', qrId=1879, materielId=938, subscribe=Mon Oct 14 17:24:38 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt-3fdfJ5rW9ebYAU3Oeb59Q', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:25:06 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt1I-wKoE8LLxSOGiuXcMfy0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:26:44 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt5bjl5QtkCYFxj3BtA3cTw0', sceneid='qrscene_materiel_942_1883', qrId=1883, materielId=942, subscribe=Mon Oct 14 17:26:48 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt_p3jxqgu6nzOAdaMFqwPIA', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:27:09 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt-yt5yGDNtkbFV_PdMOMu_0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:30:04 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt4wH5Ib2jRMfDH2tWqu6jTo', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:30:09 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtzDiUxNcl4ZxjJqeHzZAY_g', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:30:51 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt6yyeDKDay969FsaC0Sxoc0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:31:04 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt0Rxco8j71kGZDD_W_rEqCE', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:31:26 CST 2019, unSubscribe=null, type=1}
